Sutter,Q4,6
Alameda,Q3,1
Colusa,Q3,2
Glenn,Q4,1
Colusa,Q4,1
Tulare,Q4,8
Placer,Q4,4
Placer,Q3,3
Tulare,Q3,12
Shasta,Q3,2
San Joaquin,Q3,5
Lake,Q3,1
San Joaquin,Q4,4
Yolo,Q3,4
Orange,Q3,155
Yolo,Q1,2
Imperial,Q3,1
Orange,Q4,108
Yolo,Q4,9
San Diego,Q3,2
Solano,Q4,4
Madera,Q3,3
Mendocino,Q3,1
Solano,Q3,1
Riverside,Q3,5
Glenn,Q3,9
Butte,Q3,20
Stanislaus,Q3,26
Yuba,Q3,4
Yuba,Q4,2
Sacramento,Q3,10
Stanislaus,Q4,7
Tehama,Q3,3
Kings,Q3,2
San Diego,Q4,9
Kings,Q4,2
Tehama,Q4,1
Butte,Q4,4
Los Angeles,Q4,164
Santa Clara,Q4,4
Los Angeles,Q1,2
Santa Clara,Q3,6
Los Angeles,Q3,87
Tulare,Q2,1
Ventura,Q4,1
Contra Costa,Q3,1
Contra Costa,Q2,1
San Bernardino,Q3,11
San Bernardino,Q4,10
Sutter,Q3,2
Contra Costa,Q4,3
Fresno,Q4,12
Fresno,Q3,31
Kern,Q4,5
Merced,Q3,1
Kern,Q3,6
Riverside,Q4,9
